event_time,org_no,load_iden_data1,load_iden_data2,load_iden_data3,load_iden_data4,load_iden_data5,load_iden_data6,load_iden_data7,load_iden_data8,load_iden_data13,load_iden_data14,load_iden_data15,load_iden_data26,load_iden_data27,load_iden_data28,load_iden_data29,load_iden_data30,load_iden_data31,load_iden_data32,load_iden_data33,load_iden_data34,load_iden_data35,load_iden_data36,load_iden_data43,load_iden_data49,load_iden_data50,load_iden_data51,load_iden_data73,load_iden_data74,load_iden_data75,load_iden_data76,load_iden_data77,load_iden_data78,load_iden_data79,load_iden_data80,load_iden_data87,load_iden_data88,load_iden_data98,load_iden_data99,load_iden_data100,load_iden_data101,load_iden_data102,load_iden_data103,load_iden_data104,load_iden_data105,load_iden_data106,load_iden_data107,load_iden_data108
2026/05/21 00:03:08,424012309,88,133,4,13,11,3,7714,794,1106,-631,29,190806,1878,2264,35484,60850,0,0,0,0,0,0,0,500,-340,0,91,138,3,12,8,4,8007,797,11,-2147483648,79,24,112,273,279,0,0,0,0,0,0
2026/05/21 00:08:45,424012309,85,130,3,12,11,3,7456,790,996,-1482,108,4054,54137,110464,13209,1259368,0,0,0,0,0,0,0,480,-667,0,87,132,3,9,8,3,7684,796,-29,-2147483648,343,497,87,544,531,0,0,0,0,0,0
2026/05/21 00:13:08,424012309,83,125,4,10,10,3,7198,794,1090,-1132,118,48745,152776,136590,4467,97491,0,0,0,0,0,0,0,576,-390,0,84,127,4,7,8,3,7426,802,-16,-2147483648,47,0,0,190,259,0,0,0,0,0,0
2026/05/21 00:18:07,424012309,82,123,4,10,10,3,7138,795,1084,-782,59,190210,17923,33072,19008,33393,0,0,0,0,0,0,0,508,-369,0,84,128,4,6,8,3,7431,800,12,-2147483648,173,210,49,317,273,0,0,0,0,0,0
2026/05/21 00:23:07,424012309,80,122,4,10,10,3,7044,796,1063,-1310,84,29048,4077,549906,348427,3558885,0,0,0,0,0,0,0,515,-618,0,83,126,4,7,8,3,7307,795,20,-2147483648,28,20,14,620,658,0,0,0,0,0,0
2026/05/21 00:28:07,424012309,79,120,4,10,10,2,6956,798,1071,-905,78,144006,143950,3847,2407,5934,0,0,0,0,0,0,0,571,-281,0,82,125,4,6,8,2,7275,801,18,-2147483648,32,0,290,57,186,0,0,0,0,0,0
2026/05/21 00:33:08,424012309,76,115,3,9,9,2,6623,795,529,-771,119,209940,391437,108184,226835,100125,0,0,0,0,0,0,0,380,-613,0,78,118,3,6,7,2,6966,811,-17,-2147483648,432,292,229,195,79,0,0,0,0,0,0
2026/05/21 00:38:08,424012309,72,107,3,8,9,2,6108,783,1051,-659,149,775570,10772,32514,53136,94356,0,0,0,0,0,0,0,563,-388,0,74,111,3,5,7,2,6651,824,14,-2147483648,93,595,600,216,102,0,0,0,0,0,0
2026/05/21 00:43:08,424012309,68,103,2,7,10,2,5759,770,1074,-778,108,13400,3209,288931,289332,112325,0,0,0,0,0,0,0,513,-405,0,71,107,2,5,7,3,6459,826,-14,-2147483648,0,203,491,369,14,0,0,0,0,0,0
2026/05/21 00:48:08,424012309,62,93,2,7,9,2,5118,749,889,-637,418,3612,5802,28138,10843,6506,0,0,0,0,0,0,0,327,-603,0,66,99,2,5,7,2,6024,833,-15,-2147483648,473,628,340,550,452,0,0,0,0,0,0
2026/05/21 00:53:08,424012309,53,80,2,6,9,2,4210,716,1074,-607,467,61295,137071,59400,60545,77209,0,0,0,0,0,0,0,571,-436,0,57,86,3,4,7,2,5361,849,-13,-2147483648,244,144,193,210,125,0,0,0,0,0,0
2026/05/21 00:58:08,424012309,49,73,2,4,9,1,3761,707,1352,-660,287,19373,4775,1977,10822,95045,0,0,0,0,0,0,0,492,-378,0,52,78,3,4,7,1,4912,860,-14,-2147483648,295,155,6,0,0,0,0,0,0,0,0
